id,eng_prompt,lug_prompt,ach_prompt,teo_prompt,lgg_prompt,nyn_prompt
2108,"In response to rising unemployment rates and economic challenges, the government has implemented several initiatives. These programs aim to stimulate job growth and support the workforce in various sectors.","Mu kwanukula ebbula ly'emirimu eryeyongera n'okusoomoozebwa mu by'enfuna, gavumenti etadde mu nkola enteekateeka ez'enjawulo. Pulogulaamu zino zigenderera okutumbula emirimu n'okuyamba abakozi mu bitongole eby'enjawulo.","Macalo adwogi me medde pa can tic ki peko me biacara, gamente oketo yub mapol itic. Yub magi tye ki miti me medo rwom me tic ki konyo lutic I tenge mapat-pat.","Kanu aitemokin amamus na aswamisinei keda atiokisio nuka ikapun, etolomu apugan iboro luipu. Alosikinet naka ainapeta ngun erai aitopolor aswamisinei ka aigang eswamak luka iriongeta luegelegela.","E'yo azi ako ni tuzu tualu e'yo ewaru e'yo robiani 'diyi pie, gamete 'ba e'yo ndundu eyi 'yeta ma alea. Otita 'diyi lezu azi ma omgbo otuzu azini atita fezu 'ba azi ngapi esele ndundu eyi ma alea 'diyi dri.",Gavumenti etandikireho emirimo mingi ahabw'eibura ry'emirimo erikweyongyera hamwe n'oburemeezi bw'eby'entaasya. Enteekateeka ezi nizigyenderera okutunguura emirimo n'okuhwera abakozi omu bitongore bitari bimwe na bimwe.
2109,"To ensure a smooth implementation of the new initiative, a comprehensive plan has been developed. This plan outlines the roles and responsibilities of various stakeholders involved in the project.","Okusobola okulaba nti enteekateeka empya eteekebwa mu nkola bulungi, enteekateeka enzijuvu ekoleddwa. Enteekateeka eno eraga emirimu n'obuvunaanyizibwa bw'abakwatibwako ab'enjawulo abeenyigira mu pulojekiti.","Me neno ni yub manyen eni ki keto itic labongo ayela mo, kiyubu yub maber tutwal. Yub man nyutu tic ki tic pa dano ma padi padi matye I yub eni.","Kanu awanyun ebe epedorio aitodolikin ekisil loitetet, etolomun ainapeta nuipu. Itodunit ainapeta ngun aswamisinei keda aswamisinei nuka itunga luegelegela luejaas opurojekt.","E'yo 'di 'yezu kililiru, 'ba e'do otita azi kililiru ni. Otita 'di ece azi 'ba ndundu e'yo otita 'da ma alea 'diyini 'diyi ma dria.","Okureeba ngu enteekateeka ensya etwarwa omu nkora kurungi, enteekateeka y'omutaano ekozirwe. Enteekateeka egi neeyoreka emirimo n'obujunaanizibwa bw'abaine akakwate omu purogyekiti."
2111,"In response to the growing concerns about youth unemployment and mental health, community leaders have come together to address these pressing issues. They believe that targeted initiatives can create a positive impact on the younger generation.","Mu kwanukula okweraliikirira okweyongera ku bbula ly'emirimu mu bavubuka n'obulwadde bw'obwongo, abakulembeze b'ekitundu bakwataganye okukola ku nsonga zino ez'amangu. Balowooza nti enteekateeka eziteekeddwateekeddwa zisobola okuleetawo enkola ennungi ku mulembe omuto.","Macalo adwogi me lworo ma tye kamedde I kom bedo peke pa tic ikin bulu ki two wic, lutela me tedero guribe kacel me cobo peko magi mapigi tego tutwal. Gitye ki niyee ni yub mapat-pat matye ki miti twero kelo adwogi maber I kom joo matino.","Kanuka aiyalongongo naka amamus na aswamisinei kanejaas atumunak keda angaleu naka adam, apotu engarenok luka atutubet imorikikinos aitemokin atiokisio nu. Iyuunitos kesi ebe epedorete ainapeta ngun aitolomun ajokis nejaas atumunak.","E'yo azi ako 'ba ode eyini tualu azo omi ni 'diyi pie, drice'ba ongulumu eyini 'diyi emu tualu e'yo okporu 'diyi ma aza kozu. Yi a'i ra kini e'yo 'bani 'ye 'diyi eco orodri eji 'ba oderu 'diyi ma dria ra.","Ahabw'okwerarikirira ahabw'eibura ry'emirimo omu minyeeto hamwe n'oburwaire bw'emitwe, abeebembezi b'ebyanga bakwatanisa kukora aha nshonga ezi. Nibiikiriza ngu enteekateeka ezirikuteekwateekwaho, nizibaasa kuhwera abantu bato."
2112,"Many refugees face significant barriers to employment and entrepreneurship in their host countries. As a result, they often struggle to establish a stable livelihood.","Abanoonyiboobubudamu bangi basanga obuzibu obw'amaanyi mu kufuna emirimu n'okutandikawo bizinensi mu nsi ezibakyaza. N'ekivuddemu, batera okulwana okuteekawo obulamu obunywevu.","Luring ayela mapol ginongo peko madit tutwal me nongo tic ki biacara I lobo ma gitye iye. Macalo adwogi ne, pol kare gi nongo peko me nongo yoo me kwo maber.","Ikerai luipu itereikina keda atiokisio nuepolok nuka adumun aswamisinei keda agwelanar kotoma akwapin nu ijaunitos kesi. Kanuka ngun, etiono kesi adumun aijar na ejok.","Emunyale karakara eyi e'yo eyi esu eyini ani ecozu azi esuzu azini tujari 'yezu kari eyini aa'zu 'diyi ma alea ku. E'yo 'disi, eyi sa'wa driasi dri ci geri eyini aa'zu edriru 'diyi esuzu.","Empungi enyingi nizitunga oburemeezi bw'amaani omu mirimo n'okutandika bizinesi omu mahanga agabarikwakiira. N'ekyarugiremu, nibakira kurwana kutaho entuura nungi."
2113,"Many individuals enter the workforce with varying levels of expertise and training. As a result, their performance in different business environments often fluctuates significantly.","Abantu bangi bayingira emirimu nga balina obukugu n'okutendekebwa okw'enjawulo. N'ekivuddemu, enkola yaabwe mu bizinensi ez'enjawulo ekyukakyuka nnyo.","Dano mapol donyo I tic ki ngec ki pwony ma pat pat. Macalo adwogi ne, rwom me timo biacaragi ipol kare lokke tutwal.","Itunga luipu elomanarete toma aswam keda adoketait naka acoa keda aitutuoro na egelegela. Kanuka ngun, eswamae kec kotoma aiboisio nuegelegela nuka agwelanar ijulanakinete noi.","Ba karakara eyi e'do azi nga ondua azini imbata ndundu eyi pie. E'yo 'disi, e'yo yini 'ye tujari ndundu eyi ma alea 'diyi oja eyi sa'wa driasi.","Abantu baingi nibataha omu mirimo n'emyoga etarikushushana hamwe n'obwegyese butarikushushana. N'ekyarugiremu, enkora yaabo omu by'obushubuzi eby'emiringo etari emwe nekira kuhinduka munonga."
2114,"To ensure fairness and maximize collaboration, it's essential to consider how we allocate tasks and responsibilities. By doing so, we can foster a more inclusive environment where everyone's skills are utilized effectively.","Okukakasa obwenkanya n'okutumbula enkolagana, kya mugaso okulowooza ku ngeri gye tugabanyizaamu emirimu n'obuvunaanyizibwa. Mu kukola ekyo, tusobola okuleetawo embeera erimu abantu bonna nga buli muntu akozesa bulungi obukugu bwe.","Me neno ni jami weng tye marom dok weko winye bedo tye, pire tek tutwal me neno kit ma wapoko kwede tic ki twero. I timo man, watwero kelo kabedo ma dano weng tye iye kama diro pa dano weng kitiyo kwede maber.","Kanu awanyun ebe ejokuna keda aimorikikina naepol, ejokuna aomoom eipone lo ijanakini oni aswamisinei keda aswamisinei. Kowai lo aswam ngun, ipedori oni aitopolor ejautene lo itunga kere itwasamaete acoa kec ejok.","Ovuzu kililiru azini ti ecita ma omgbo otuzu, eri orodriru ama ma ega geri amani azi awazu azini azi ngazu 'diyi ma dria. E'yo 'di 'yerisi, ama eco angu 'ba dria ni ecozu ondua 'ba dria ni 'diyi ayuzu kililiru ri ma omgbo otu ra.","Okureeba ngu hariho oburingaaniza n'okukwatanisa, n'eky'omugasho okureeba oku turikugabana emirimo n'obujunaanizibwa. Omu kukora ekyo, nitubaasa kureetaho embeera erimu abantu boona ahu emyoga ya buri omwe erikukoresibwa kurungi."
2115,"In a world where resources are limited, it's essential to prioritize those who demonstrate genuine enthusiasm and commitment. By focusing on individuals who actively seek out opportunities, we can foster a more engaged and motivated community.","Mu nsi omuli ebikozesebwa ebitono, kya mugaso okukulembeza abo abooleka obwagazi n'obumalirivu obwa nnamaddala. Bwe tussa essira ku bantu abanyiikivu mu kunoonya emikisa, tusobola okutumbula ekitundu ekyesigamye n'okukubirizibwa.","I lobo man ma lonyo tye manok, pire tek tutwal me keto cwiny dano ma tye ki miti ki miti. Ka waketo cwiny I kom dano ma gitye ka yenyo gum me tic, watwero dongo lwak matye ki miti dok ma cwinygi yom.","Kotoma akwap na ikidioko iboro, ejokuna noi aisingarenit ngul lu itodunitos aiyalama keda ainakina. Kowai lo aibwaikin agogongu mama ejaasi itunga luekotosi aimo arerengesio, ipedori oni aitopolor itunga luejaasi keda agogongu.","Wudrikuru afa ayuzaru 'diyi ma ongmbo ni ovuzu wereruri ma alia, eri orodriru 'ba ava be azini asi 'baza be 'diyi 'duzu okporu. Asi 'bazu 'ba drileba ndapi 'diyi ma dria, ama eco ongulumu azi ngapi ra azini ava esupi ra 'diyi ezo ra.","Omu nsi erimu eby'obugaiga bikye, n'eky'omugasho kwebembeza abo abarikworeka okushemererwa n'okwehayo. Twaguma nitufayo aha bantu abarikuronda emigisha, nitubaasa kureetaho abantu abarikwenda kwejumba omu by'obutegyeki."
2116,"The organization is committed to fostering inclusivity and support for all displaced individuals. As part of this initiative, refugees will also get an opportunity to participate in the project.","Ekitongole kyewaddeyo okutumbula abantu bonna n'obuyambi eri abantu bonna ababundabunda. Ng'omu ku nteekateeka eno, abanoonyiboobubudamu nabo bajja kufuna omukisa okwetaba mu pulojekiti.","Dul eni oketo cwinygi me miyo kony ki dano weng ma orwenyo gangi gi. Macalo but yub man, luring ayela bene gubi nongo gum me bedo tye I yub eni.","Ekapakina erionget aitopolor itunga kere ka aigang itunga kere lu aponi itobwounai kotoma aiboisio kec. Kwape ediopet koboro kalu, epote ikerai da adumun arereng naka ajaikin toma opurojekt.","Amuti 'da owi i e'yo 'ba dria 'diyi ma tambazu azini atita fezu 'ba dria angu kokoru 'diyi dri. Otita 'di ma azi ru, emunyale eyi nga vini drileba esu fizu otita 'di ma alea indi.","Ekitongore kyehaireyo kureetaho obumwe n'obuhwezi aha bantu boona ababingirwe omu maka gaabo. Nk'emwe aha nteekateeka egi, empungi nazo niziija kutunga omugisha kwejumba omu purogyekiti."
2117,"Law enforcement agencies have been actively monitoring illegal activities in the area. As a result of their efforts, several individuals have been taken into custody.","Ebitongole ebikuumaddembe bibadde birondoola n'obunyiikivu ebikolwa ebimenya amateeka mu kitundu. Olw'okufuba kwabwe, abantu bangi bakwatiddwa.","Dul ma gwoko cik gubedo ka ngiyo tic ma turu cik ikabedo eni. Macalo adwogi me tute gi, kimako dano mapol.","Atukona nu ikisila eutasi aimaniman aswamisinei numam ekisil ecamakinit kotoma aiboisit. Kanuka aswam kec, aponi ikamarai itunga luipu.","Amuti azita ma ta mbapi 'diyi ebi e'yo azita palaa ku 'diyi ma pamvu one angu 'da ma alea. Okpo yini 'diyi ma e'yosi, 'ba 'du 'ba karakara eyi arujoa.","Ebitongore ebirikukwatisa ebiragiro bitwire nibicondooza ebikorwa ebitahikire omu kyanga. Ahabw'amaani gaabo, abantu baingi bakwasirwe."
2118,"In response to growing concerns about environmental degradation, the military has implemented new policies aimed at sustainability. These initiatives reflect a commitment to balancing national security with ecological responsibility.","Mu kwanukula okweraliikirira okweyongera ku kwonoona kw'obutonde bw'ensi, amagye gatadde mu nkola enkola empya ezigendereddwamu okuyimirizaawo. Enteekateeka zino ziraga obumalirivu bw'okutebenkeza eby'okwerinda by'eggwanga n'obuvunaanyizibwa ku butonde bw'ensi.","Macalo adwogi me lworo ma tye kamedde I kom balo cwec ma orumuwa, mony okatti ki cik manyen ma tye ki miti me gwoko cwec ma orumuwa. Yub magi nyutu miti me neno ni gwoko kuc ki ber bedo tye ikin lobo.","Kanu aitemokin aiyalongong naepol noi kanu amunar alupok, etolomu ajore ainapeta nuitetiak nuitemokinitai kanu aidar ejautene lo akwap. Itodunitos aswamisio nu ainakina aitirian ayuwara naka akwap keda ejautene lo akwap.","E'yo ewaru angu ama agei ri ma ezaza ma dria tupi 'diyi ma aza kozu, asikari eyi e'do azita o'diru eyini lezu angu ama agei ri ma ta mbazu. Otita 'diyi e'da ava 'bani lezu e'yo ageyitema kari ni 'diyi ma tambazu azini e'yo angu ama agei ri ma tambazu 'diyi ma dria.","Ahabw'okweyongyera kw'okwerarikirira aha nshonga y'okushiisha eby'obuhangwa bw'ensi,amahe gatandikireho ebiragiro ebisya ebirikugyenderera okutunguura eby'obuhangwa. Enteekateeka ezi nizooreka okwehayo kw'eihanga omu by'okwerinda hamwe n'okureeberera eby'obuhangwa."
